,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-03-31,8102.5732917,7321.906044850297,10345.26477533768,8102.5732917,8102.5732917,756.3482673983226,756.3482673983226,756.3482673983226,756.3482673983226,756.3482673983226,756.3482673983226,0.0,0.0,0.0,8858.921559098322
1,2015-04-30,8491.04551456017,7251.114492039564,10160.70269340687,8491.04551456017,8491.04551456017,230.39813209408692,230.39813209408692,230.39813209408692,230.39813209408692,230.39813209408692,230.39813209408692,0.0,0.0,0.0,8721.443646654257
2,2015-05-31,8892.466811515676,6981.449063603868,9999.515691517423,8892.466811515676,8892.466811515676,-343.5651598023795,-343.5651598023795,-343.5651598023795,-343.5651598023795,-343.5651598023795,-343.5651598023795,0.0,0.0,0.0,8548.901651713297
3,2015-06-30,9280.939034375848,7461.097792527831,10295.024928994519,9280.939034375848,9280.939034375848,-416.6775021909153,-416.6775021909153,-416.6775021909153,-416.6775021909153,-416.6775021909153,-416.6775021909153,0.0,0.0,0.0,8864.261532184932
4,2015-07-31,9682.360333786191,9048.037639991011,11985.60272790545,9682.360333786191,9682.360333786191,815.9674739595432,815.9674739595432,815.9674739595432,815.9674739595432,815.9674739595432,815.9674739595432,0.0,0.0,0.0,10498.327807745734
5,2015-08-31,10083.781633196539,8276.597897543767,11151.21641954821,10083.781633196539,10083.781633196539,-203.40526913338084,-203.40526913338084,-203.40526913338084,-203.40526913338084,-203.40526913338084,-203.40526913338084,0.0,0.0,0.0,9880.376364063159
6,2015-09-30,10472.25385843236,9193.73869472244,12173.454542171816,10472.25385843236,10472.25385843236,247.88273772911992,247.88273772911992,247.88273772911992,247.88273772911992,247.88273772911992,247.88273772911992,0.0,0.0,0.0,10720.13659616148
7,2015-10-31,10873.675161056923,8767.724131009169,11792.511396278127,10873.675161056923,10873.675161056923,-565.0743379216273,-565.0743379216273,-565.0743379216273,-565.0743379216273,-565.0743379216273,-565.0743379216273,0.0,0.0,0.0,10308.600823135295
8,2015-11-30,11262.147389403275,9164.458741834533,12260.630029156358,11262.147389403275,11262.147389403275,-542.1696865474764,-542.1696865474764,-542.1696865474764,-542.1696865474764,-542.1696865474764,-542.1696865474764,0.0,0.0,0.0,10719.977702855798
9,2015-12-31,11663.568692027839,10908.45847741544,13841.587016985031,11663.568692027839,11663.568692027839,724.9628334223926,724.9628334223926,724.9628334223926,724.9628334223926,724.9628334223926,724.9628334223926,0.0,0.0,0.0,12388.531525450231
10,2016-01-31,12064.989993796547,10634.612327905048,13672.882865889464,12064.989993796547,12064.989993796547,35.04958665971837,35.04958665971837,35.04958665971837,35.04958665971837,35.04958665971837,35.04958665971837,0.0,0.0,0.0,12100.039580456265
11,2016-02-29,12440.513147064048,10768.259150391785,13776.146629425648,12440.513147064048,12440.513147064048,-210.10366602021114,-210.10366602021114,-210.10366602021114,-210.10366602021114,-210.10366602021114,-210.10366602021114,0.0,0.0,0.0,12230.409481043836
12,2016-03-31,12841.934448832759,11210.92046552584,14134.773050255706,12841.934448832759,12841.934448832759,-213.74761756369836,-213.74761756369836,-213.74761756369836,-213.74761756369836,-213.74761756369836,-213.74761756369836,0.0,0.0,0.0,12628.18683126906
13,2016-04-30,13230.753233993957,11664.145587015857,14583.66409710545,13230.753233993957,13230.753233993957,-25.57889105241214,-25.57889105241214,-25.57889105241214,-25.57889105241214,-25.57889105241214,-25.57889105241214,0.0,0.0,0.0,13205.174342941546
