,time,Accessible au public
0,2015-03-31,8478
1,2015-04-30,9539
2,2015-05-31,8713
3,2015-06-30,10086
4,2015-07-31,10158
5,2015-08-31,10853
6,2015-09-30,10928
7,2015-10-31,11065
8,2015-11-30,11061
9,2015-12-31,11113
10,2016-01-31,11960
11,2016-02-29,12073
12,2016-03-31,12830
13,2016-04-30,12974
14,2016-05-31,12959
15,2016-06-30,13861
16,2016-07-31,13831
17,2016-08-31,13442
18,2016-09-30,12859
19,2016-10-31,15063
20,2016-11-30,15161
21,2016-12-31,16220
22,2017-01-31,16577
23,2017-02-28,17134
24,2017-03-31,17423
25,2017-04-30,17675
26,2017-05-31,18091
27,2017-06-30,19750
28,2017-07-31,20675
29,2017-08-31,20148
30,2017-09-30,20688
31,2017-10-31,19871
32,2017-11-30,19889
33,2017-12-31,19309
34,2018-01-31,22358
35,2018-02-28,20062
36,2018-03-31,26325
37,2018-04-30,23810
38,2018-05-31,25833
39,2018-06-30,22283
40,2018-07-31,24171
41,2018-08-31,23393
42,2018-09-30,24319
43,2018-10-31,24460
44,2018-11-30,25736
45,2018-12-31,26254
46,2019-01-31,27285
47,2019-02-28,26573
48,2019-03-31,27516
49,2019-04-30,27577
50,2019-05-31,27538
51,2019-06-30,27668
52,2019-07-31,29005
53,2019-08-31,28181
54,2019-09-30,29545
55,2019-10-31,29861
56,2019-11-30,29754
57,2019-12-31,30203
58,2020-01-31,30467
59,2020-02-29,30931
60,2020-03-31,31081
61,2020-04-30,31708
62,2020-05-31,31512
63,2020-06-30,32648
64,2020-07-31,33281
65,2020-08-31,33104
66,2020-09-30,33369
67,2020-10-31,33911
68,2020-11-30,34464
69,2020-12-31,34686
70,2021-01-31,36097
71,2021-02-28,36164
72,2021-03-31,37491
73,2021-04-30,41124
74,2021-05-31,38828
75,2021-06-30,43699
76,2021-07-31,48310
77,2021-08-31,46539
78,2021-09-30,49086
79,2021-10-31,49583
80,2021-11-30,50698
81,2021-12-31,53667
82,2022-01-31,56765
83,2022-02-28,55511
84,2022-03-31,57732
85,2022-04-30,59092
86,2022-05-31,60401
87,2022-06-30,64546
88,2022-07-31,69525
89,2022-08-31,69963
90,2022-09-30,71630
91,2022-10-31,71645
92,2022-11-30,73874
93,2022-12-31,82107
